"run" "growth_rate" "warfare_pressure" "carrying_capacity" "yearly_warfare_mortality" "sizeX" "allow_matrilocal" "matrilocal_pressure" "change_residence_pause" "sizeY" "newborn_male_bias" "preferred_marriage_weight"
353 0.45 300 100 0.02 5 1 0 0 10 116 0.5
354 0.5 300 100 0.02 5 1 0 0 10 116 0.5
355 0.55 300 100 0.02 5 1 0 0 10 116 0.5
356 0.6 300 100 0.02 5 1 0 0 10 116 0.5
357 0.65 300 100 0.02 5 1 0 0 10 116 0.5
358 0.7 300 100 0.02 5 1 0 0 10 116 0.5
359 0.75 300 100 0.02 5 1 0 0 10 116 0.5
360 0.8 300 100 0.02 5 1 0 0 10 116 0.5
361 0.4 0 500 0.02 5 1 0 0 10 116 0.5
362 0.45 0 500 0.02 5 1 0 0 10 116 0.5
363 0.5 0 500 0.02 5 1 0 0 10 116 0.5
364 0.55 0 500 0.02 5 1 0 0 10 116 0.5
365 0.6 0 500 0.02 5 1 0 0 10 116 0.5
366 0.65 0 500 0.02 5 1 0 0 10 116 0.5
367 0.7 0 500 0.02 5 1 0 0 10 116 0.5
368 0.75 0 500 0.02 5 1 0 0 10 116 0.5
369 0.8 0 500 0.02 5 1 0 0 10 116 0.5
370 0.4 100 500 0.02 5 1 0 0 10 116 0.5
371 0.45 100 500 0.02 5 1 0 0 10 116 0.5
372 0.5 100 500 0.02 5 1 0 0 10 116 0.5
373 0.55 100 500 0.02 5 1 0 0 10 116 0.5
374 0.6 100 500 0.02 5 1 0 0 10 116 0.5
375 0.65 100 500 0.02 5 1 0 0 10 116 0.5
376 0.7 100 500 0.02 5 1 0 0 10 116 0.5
377 0.75 100 500 0.02 5 1 0 0 10 116 0.5
378 0.8 100 500 0.02 5 1 0 0 10 116 0.5
379 0.4 200 500 0.02 5 1 0 0 10 116 0.5
380 0.45 200 500 0.02 5 1 0 0 10 116 0.5
381 0.5 200 500 0.02 5 1 0 0 10 116 0.5
382 0.55 200 500 0.02 5 1 0 0 10 116 0.5
383 0.6 200 500 0.02 5 1 0 0 10 116 0.5
384 0.65 200 500 0.02 5 1 0 0 10 116 0.5
385 0.7 200 500 0.02 5 1 0 0 10 116 0.5
386 0.75 200 500 0.02 5 1 0 0 10 116 0.5
387 0.8 200 500 0.02 5 1 0 0 10 116 0.5
388 0.4 300 500 0.02 5 1 0 0 10 116 0.5
389 0.45 300 500 0.02 5 1 0 0 10 116 0.5
390 0.5 300 500 0.02 5 1 0 0 10 116 0.5
391 0.55 300 500 0.02 5 1 0 0 10 116 0.5
392 0.6 300 500 0.02 5 1 0 0 10 116 0.5
393 0.65 300 500 0.02 5 1 0 0 10 116 0.5
394 0.7 300 500 0.02 5 1 0 0 10 116 0.5
395 0.75 300 500 0.02 5 1 0 0 10 116 0.5
396 0.8 300 500 0.02 5 1 0 0 10 116 0.5
